Partitioned Repeated Random Algorithm Results
 residue, time 
18, 5.741801013
34, 5.740779585
132, 5.745050145
20, 5.732409037
84, 5.755041499000001
72, 5.806727497999997
361, 5.861137320999994
128, 5.908956685
116, 5.922132564999998
191, 5.894925436000001
32, 5.860009581
17, 5.755138473000002
469, 5.863558716
1007, 5.891624945999993
236, 5.803867817000011
7, 5.894992712000004
181, 5.9469305069999905
135, 5.917743890000011
266, 5.962457741999998
29, 5.794898395000004
642, 5.857492926000006
58, 5.78915512399999
190, 5.781966324999985
235, 5.778038597999995
111, 5.7902194079999845
532, 5.789190448999989
69, 5.80378244100001
179, 5.80876347100002
72, 5.769184917999979
15, 5.864196617000005
76, 5.91541787700001
154, 5.9162538440000105
22, 5.786749297
80, 5.705745557
112, 5.789329293999998
701, 5.835853525999994
177, 5.812577532000006
1307, 5.805806189000009
111, 5.738319429000001
101, 5.648064449000003
523, 5.731329889999984
187, 5.6858343810000065
106, 5.731921380000017
184, 5.7647834610000075
12, 5.803372886000005
287, 5.755593725999972
220, 5.804516502000013
129, 5.867517026999963
213, 5.758132862000025
12, 5.841111903000012
