Repeated Random Algorithm Results
 residue, time 
306608316, 2.087320214
318069786, 2.0410896459999996
3132622, 2.041788004
1277258090, 2.0325066849999995
7420107, 2.0034177799999995
541356704, 2.0030108159999997
456713994, 2.013121437999999
187077929, 2.0273884480000017
120745196, 2.0104095069999985
195886284, 2.029612018999998
896331945, 2.055927318000002
126578303, 2.0633142749999998
247615883, 2.046862905000001
43806225, 2.008009434999998
146468253, 2.076995106000002
103614137, 2.0652949219999996
220644237, 2.0641196710000003
389778761, 2.012527788
255186244, 2.0142637550000018
354837654, 2.018196181999997
547414487, 2.0323156150000017
163755544, 2.0581234879999997
601715064, 2.0943249460000004
42855800, 2.086735181999998
37773400, 2.077949154999999
92957364, 2.094652332999999
839903768, 2.071521554999997
507024213, 2.085394641999997
16509248, 2.075215533000005
48434296, 2.088042754
372730377, 2.087718721999998
648745008, 2.078566422999998
396766722, 2.1120220939999967
74780181, 2.09748476099999
57945754, 2.130005793999999
144056519, 2.055439650000011
118134488, 2.0745166720000014
671509782, 2.0567098490000006
181573415, 2.0572202009999927
223335855, 2.1274324790000065
292516292, 2.1291520170000098
157935476, 2.144869705000005
329751001, 2.0821247069999913
270162824, 2.0466236320000064
247281450, 2.1471801940000006
175213719, 2.1009947850000117
536599078, 2.071640721999998
48209234, 2.1895854670000006
513780037, 2.144162662999989
216687210, 2.167398419999998
