Partitioned Hill Climbing Algorithm Results
 residue, time 
1664, 3.728378875
2071, 3.714269214
877, 3.681720746
433, 3.706082385
2897, 3.714972808999999
373, 3.7898414590000016
1411, 3.8155072170000004
917, 3.9988623730000015
57, 3.9112848320000033
1393, 3.8212223499999993
3451, 3.7282735860000003
135, 3.7443326659999983
542, 3.8388514009999994
781, 3.7963402540000004
304, 3.739684935999996
5, 3.719788672
2927, 3.785799613999991
1, 3.7464858900000024
895, 3.883793917999995
135, 3.875742849000005
36, 3.903602879999994
2084, 3.869507494000004
1542, 3.8284950940000044
3644, 3.8714465820000044
658, 3.8771836450000023
1660, 3.873474248000008
2377, 3.865054809
1576, 3.910067036000001
650, 3.887360398999988
1065, 3.8733589739999985
528, 3.8819561930000077
1076, 3.834921309000009
994, 3.9219106359999927
402, 3.83742328000001
1011, 3.821184893999998
249, 3.7425523950000184
519, 3.6951220970000236
2096, 3.7020384650000153
359, 3.824304285000011
757, 3.784032773000007
188, 3.8128354609999917
258, 3.737575009000011
1619, 3.8600285170000177
2975, 3.774882443999985
2829, 3.702300527999995
2480, 3.6969896649999896
3547, 3.7467671170000187
11, 3.682565844999999
191, 3.734616912000007
881, 3.673682210999999
