Partitioned Simulated Annealing Algorithm Results
 residue, time 
509, 10.653066812
2876, 10.550447611
557, 10.719605825000002
3, 10.580300696000002
1498, 10.584600486
323, 10.697589956000002
338, 10.571893207000002
541, 10.666565098999996
1366, 10.516510076999992
1044, 10.708137717
1398, 10.705230029999996
1257, 10.763942893000007
3120, 10.752787826000002
338, 10.749538950000016
526, 10.62350980399998
687, 10.706064454
515, 10.733187614999991
640, 10.636262864000003
2989, 10.611089428000014
1874, 10.810991698999999
1615, 10.662832879999996
1764, 10.637534802000005
1932, 10.644977860999973
2161, 10.672076073999989
1177, 10.89039129599999
1415, 10.527468499000008
264, 10.726487346999988
2027, 10.717315552000002
737, 10.798790040999961
1003, 10.670288802999949
750, 10.959471382000004
418, 10.850895921000017
1454, 10.85643462400003
916, 10.940082757000027
2082, 10.74016840400003
770, 10.82265886700003
56, 10.900014054999986
886, 10.750415313000019
534, 10.790751837000016
276, 10.794696686999998
2550, 10.696317007000005
40, 10.826831062999986
56, 10.991254588000004
1749, 10.960539721999965
421, 10.894164967999984
856, 10.933719101999998
3414, 10.745365880999998
1504, 10.760998185000005
81, 11.233748966000007
14, 10.777473697999994
